date,01_Fermentation,02_Homoacetogenesis,03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans),"04_Utililization of sugar, conversion of pentose to EMP pathway intermediates",05_Fatty acid oxidation,06_Amino acid utilization biosynthesis metabolism,07_Nucleic acid metabolism,08_Hydrocarbon degradation,09_Carbohydrate Active enzyme - CAZy,10_TCA cycle,11_Nitrogen cycle,12_Transporters,13_Hydrogen metabolism,14_Methanogenesis,15_Methylotrophy,16_Embden Meyerhof-Parnos (EMP),17_Gluconeogenesis,18_Sulfur compounds metabolism,19_Saccharide and derivated synthesis,20_Hydrolysis of polymers,21_Cellular response to stress
0.0,0.0968992248062015,0.0098904036353916,0.0005791677804508599,0.0005346164127238706,0.0254833823398378,0.1227835694555822,0.119531319611512,0.0055243695981466,0.003920520359975,0.045397843713802,0.0260625501202886,0.0155929787044462,0.0008464759868127952,0.0035195580504321,0.0092666844872137,0.0304731355252606,0.016261249220351,0.0053461641272387,0.0092666844872137,0.0061926401140515,0.0373340461552169
1.0,0.10309235207671698,0.010093984709628669,2.0067185460016708e-16,0.0007056665209555902,0.026644889232970665,0.1259164864253697,0.11218967492414625,0.00504371936104466,0.0034936112915191463,0.04557201675867266,0.025519487214576787,0.016278843798074105,7.887615751506442e-17,0.003886045502624279,0.01153810859213746,0.030149573170199975,0.016993382013400025,0.004340628492041292,0.008043441371175028,0.006122776794327266,0.036335260014038515
2.0,0.10327274002406475,0.010093984283792778,8.211883195383207e-17,0.0007078957680348352,0.027583459338513257,0.12591648666902283,0.11218968495479888,0.005037551827211508,0.003494260964391106,0.04557201663726232,0.025535474414626877,0.01625419241647872,2.372532829746681e-17,0.003920620745626412,0.011538108405227246,0.030149572964401714,0.016993381921563286,0.004332274196401945,0.008031310593905916,0.006122653649128132,0.036333868842471674
3.0,0.10345306534496797,0.010093983857871055,3.5799904933767906e-17,0.0007101270802278351,0.02852208696459872,0.12591648691262264,0.11218969498411392,0.0050313857557734995,0.0034949107318278582,0.04557201651580009,0.02555109244728225,0.016229323278357778,6.4283930468915955e-18,0.003955204039800698,0.011538108218273587,0.030149572758485434,0.016993381829674775,0.004323978998002412,0.008017591152620454,0.006122530795308671,0.0363324771795145
4.0,0.10363332553191115,0.010093983431862527,2.0971607953973266e-17,0.0007123604250520062,0.029460774068571886,0.1259164871561831,0.11218970501209548,0.005025221144940581,0.0034955605943067956,0.04557201639428401,0.02556635095143582,0.016204233247076878,3.194061035474991e-18,0.003989795456165402,0.011538108031276766,0.03014957255245214,0.01699338173773571,0.004315742783686549,0.008002373753260822,0.006122408232863121,0.036331085025233315
5.0,0.1038135180719871,0.0100939830057677,2.459054284951312e-17,0.00071459576969568,0.030399522607903143,0.12591648739969394,0.11218971503873566,0.005019057992923243,0.003496210552305144,0.04557201627271579,0.025581259539222318,0.01617891918290115,7.860613229125862e-18,0.004024395065755782,0.011538107844237025,0.030149572346301532,0.016993381645745726,0.004307565441102876,0.007985748258003285,0.006122285961785367,0.03632969237969766
6.0,0.10399364044977774,0.010093982579586496,4.984002924500949e-17,0.0007168330810165053,0.031338334540190214,0.12591648764316915,0.11218972506404225,0.005012896297932315,0.0034968606063003767,0.045572016151093686,0.025595827796422006,0.01615337794295688,2.9634963001998324e-17,0.004059002939623579,0.011538107657153601,0.030149572140034366,0.01699338155370421,0.0042994468587029665,0.007967803719496685,0.006122163982069886,0.036328299242975544
7.0,0.10417369015024659,0.01009398215331885,1.1893024440932506e-16,0.0007190723255398544,0.03227721182316336,0.12591648788659277,0.11218973508801124,0.005006736058179067,0.003497510756769802,0.045572016029419356,0.02561006528285985,0.016127606381197465,9.864555766135146e-17,0.0040936191488375705,0.011538107470027413,0.03014957193364987,0.016993381461612438,0.004291386925739931,0.007948628414846606,0.00612204229371087,0.03632690561513276
8.0,0.1337341197822141,0.0116454930429522,0.00034029038112522685,0.0008696309739866908,0.0335753176043557,0.1292347247428917,0.1087794918330308,0.0046884452510586,0.003062613430127,0.0523669086509376,0.021854204476709,0.0182244404113732,0.0010586811857229,0.0041591046581972,0.0163339382940108,0.0354280096793708,0.0186781609195402,0.0035919540229885,0.0091500302480338,0.0066923774954627,0.0426875378100423
9.0,0.1045335614782016,0.010093981300524536,1.2054838937938693e-16,0.0007235564786244709,0.0327033909127544,0.12591648837332228,0.1121897551319396,0.005000268502757222,0.003498811348959918,0.04557201578591235,0.025637570738559108,0.016075360813747313,9.871800202462565e-17,0.00416017643218065,0.011538107095645069,0.03014957152052965,0.01699338127727402,0.004292435640005585,0.00790695839783072,0.00610986298770531,0.03632411688650623
10.0,0.10471337809996106,0.010093980873997842,5.4499686221945295e-17,0.0007258013185603213,0.0321906936080957,0.12591648861662302,0.1121897651518973,0.0049999611852111535,0.0034994617911515767,0.045572015664079896,0.0256507657996189,0.016048887230476577,2.9982065024733927e-17,0.0041921176429881675,0.011538106908389486,0.030149571313793696,0.0169933811850282,0.004301544301539959,0.007884777421841084,0.006097805369479832,0.03632272178675278
11.0,0.10489311202438348,0.010093980447384597,3.6390480649797033e-17,0.0007280479544440001,0.03167806343156955,0.1259164888598836,0.11218977517052267,0.004999655319147669,0.0035001123307592456,0.04557201554219367,0.025663484270411166,0.016022184170236257,9.40185231167866e-18,0.004224067462499046,0.01153810672109007,0.030149571106941303,0.016993381092731397,0.004310711641122754,0.00786199327159373,0.006085748041451075,0.03632132619794104
