days,Acidimicrobium,Acinetobacter,Albidiferax,Candidatus Microthrix,Chitinophaga pinensis,Dechloromonas,Haliscomenobacter,Intrasporangium,Leptospira,Other,Xanthomonas,mean abundance < 2%
0.0,8.322484326990079,0.7918696793018238,6.38349126808187,26.18083775042212,7.055585423447146,4.998286998752169,15.142619561769822,11.445072116320103,4.742982210528009,2.357318028560508,0.8536576659633563,11.725794969862989
1.0,8.26517652313192,0.763702792305731,6.362574927353577,25.59388962352631,7.081693594125341,5.072711193848099,15.397948121919537,11.546581526650256,4.7912691460756,2.382206277042325,0.8646974208940228,11.836535516722778
2.0,8.18070115208756,0.7818814722435197,6.330329754615467,25.22686145557521,7.127156661914428,5.1478864117989245,15.66353746810999,11.636934314936028,4.83361873030266,2.3997792505457136,0.8791317912142721,11.947292661877098
3.0,8.078737162912148,0.8018901915955314,6.290243179659956,24.849370881291765,7.185821364726525,5.219273197416686,15.92696932864943,11.710475650268235,4.8680312926452665,2.4187844893150774,0.8948734813608904,12.058066889060658
4.0,7.9698074297240735,0.8237577894025506,6.246733996309674,24.505011694517115,7.249498437867766,5.280679363059332,16.172481951583315,11.759176283118324,4.8923799644332835,2.4382626486637227,0.9093030978952951,12.168858356656347
5.0,7.863614244330744,0.8474875685532505,6.204390508331806,24.245813386684727,7.309111281620613,5.324508052661272,16.382314022576683,11.772278273416218,4.904550063893193,2.457028761917954,0.919595270227613,12.279667223072002
6.0,7.770083694825595,0.8730548551616626,6.167656203079782,24.12724179842275,7.355842391692273,5.342459878506231,16.538718355119038,11.737040351218118,4.902618838613927,2.4737340234533742,0.9231375510502858,12.390493646740135
7.0,7.700313772126233,0.9004048422294518,6.140528248089517,24.199845326280744,7.382293264549468,5.326927285966738,16.626578652738445,11.641157318524519,4.885061063905266,2.4870019941853285,0.9180117064279287,12.501337786118693
8.0,7.664534398940871,0.9112908887978676,6.12582246679643,23.641354879292603,7.383681411070449,5.273043560129003,16.636265019314465,11.476739311028352,4.850959307882681,2.520629522857035,0.903478082644306,12.61220115124594
9.0,7.66680079424456,0.9600726605445553,6.124129296595515,25.024939570102433,7.358852248277057,5.180565895216675,16.565954917546946,11.244473635255046,4.800195782301459,2.499158852146928,0.880339347215286,12.321359385764069
10.0,7.701597407085802,0.9921162440197888,6.133188526021744,25.753165205048152,7.310706962890461,5.055128142297583,16.422573058449686,10.95585684219682,4.733611016083365,2.4973976538128215,0.851103879958962,12.030536588701338
11.0,7.756539834676234,1.025392867033017,6.148177310123,26.62183466041131,7.245802419123399,4.907436366172124,16.220878016337604,10.632237995160004,4.653121803833226,2.490775754941265,0.8197899145361507,11.739730992688393
12.0,7.8168999447506735,1.0596797222223577,6.162503644503865,27.550700748487827,7.173270357111937,4.751604786994664,15.981051301482063,10.301403239044824,4.5618079172816195,2.479674473929118,0.7914480895881161,11.448942181936689
13.0,7.867041370433469,1.0947208872144538,6.168573290337578,28.452806205942625,7.103389219984621,4.602844907348778,15.725567331572517,9.993155213319223,4.463977100311868,2.4642003534307766,0.7714265463645303,11.158169740681496
14.0,7.890203069556435,1.1302290732185054,6.158709069228102,29.247651224803786,7.046065895333442,4.475146111186483,15.476158957256935,9.734646565327337,4.3652132745567265,2.444171234963051,0.764504979324321,10.867413253181288
15.0,7.871188395955778,1.10782992123124,6.126741213495443,30.644209502075995,7.00941691150132,4.379088870648623,15.251432995984343,9.545647148605775,4.272395238817066,2.441339227000082,0.7740397783608979,10.576670796323432
16.0,7.803070018449106,1.2013563768675677,6.069961257635846,30.296654432077347,6.998773744747142,4.320324453856391,15.065486188992994,9.434597755698244,4.193651248133189,2.389902596862853,0.801330231976468,10.733986444166833
17.0,7.691148268212558,1.2362706140863589,5.990048106118389,30.5140318094999,7.016527503850145,4.298861686870915,14.927684609523656,9.397032332714012,4.138197608273281,2.3564191522849014,0.8452986895753579,10.891315931881204
18.0,7.548452350882081,1.270251051814934,5.8920643002234865,30.546840176505103,7.062973067123389,4.310209348161273,14.843526651887156,9.4171778143017,4.115997979859268,2.320065686049906,0.9026769904895228,11.048660991807779
19.0,7.388444613633942,1.3029068756442255,5.78249901904241,30.429078615410813,7.137780865802816,4.347065003841473,14.816118492107304,9.471487424550133,4.137189359201684,2.282277694587204,0.9684893413827144,11.206021848915796
20.0,7.221952291184267,1.3338425480246419,5.667882416154665,30.19637620116456,7.2414208666800235,4.401130614125285,14.847611277918505,9.532120605109867,4.211243079180202,2.2446068772919894,1.0367458119212745,11.363398728196865
