date,01_Fermentation,02_Homoacetogenesis,03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans),"04_Utililization of sugar, conversion of pentose to EMP pathway intermediates",05_Fatty acid oxidation,06_Amino acid utilization biosynthesis metabolism,07_Nucleic acid metabolism,08_Hydrocarbon degradation,09_Carbohydrate Active enzyme - CAZy,10_TCA cycle,11_Nitrogen cycle,12_Transporters,13_Hydrogen metabolism,14_Methanogenesis,15_Methylotrophy,16_Embden Meyerhof-Parnos (EMP),17_Gluconeogenesis,18_Sulfur compounds metabolism,19_Saccharide and derivated synthesis,20_Hydrolysis of polymers,21_Cellular response to stress
121.0,0.032132516210716354,0.004260977526857434,1.4196451120564908e-20,0.0006493538806028148,0.007343202220382272,0.04609235361984803,0.01720196542597842,0.0011631490137784235,0.008093202259895182,0.007808348721193487,0.006818070839085394,0.012472005112029833,1.7071409739843218e-19,0.0012683109050888155,0.0028203924228202017,0.008106810652819436,0.003501992385981172,0.00226399463458597,0.015844688951628293,0.0076766620445380875,0.04174914441172402
122.0,0.032106610091401686,0.004260977525726019,1.4196360004616968e-20,0.0006493538806028154,0.0073256712906237115,0.04598505866579406,0.01712592847442689,0.0011631490164427682,0.008055819705440146,0.007814050750192212,0.006790297242023159,0.012479563513121017,1.7071511121937586e-19,0.0012683109094120421,0.002820392422244391,0.008106810647924685,0.0035019923840590617,0.002263994634607504,0.01584305680396072,0.007675289979413862,0.04167722141283767
123.0,0.03208070556849145,0.004260977524651014,1.419630051888875e-20,0.0006493538806028153,0.007308162482418556,0.045879794368984726,0.017049812013084906,0.0011631490192815174,0.008018765879889367,0.00782031258443819,0.006763190691756239,0.012484336473746058,1.7071667999066072e-19,0.0012683109138968537,0.0028203924216810283,0.008106810643041331,0.003501992382204531,0.0022639946346280065,0.01584176345956687,0.007673790126850708,0.04160244297026565
124.0,0.03205480264070252,0.004260977523620406,1.419627209364146e-20,0.0006493538806028155,0.007290740803904572,0.04577537339253884,0.016972942522239815,0.0011631490222986558,0.007982031119917549,0.007827127970486842,0.006736555945016341,0.012487340700987145,1.7071880343280894e-19,0.001268310918564136,0.002820392421125905,0.008106810638145423,0.0035019923804123654,0.002263994634647402,0.01584079686410336,0.007672157277068621,0.041524563562585624
125.0,0.03202890130674433,0.004260977522621848,1.4196274684683218e-20,0.0006493538806028155,0.007273473485562102,0.04567066878115673,0.016894636500745134,0.0011631490255024795,0.007945560147410822,0.007834493219730529,0.006710219908175611,0.012489588115223663,1.707214910452483e-19,0.0012683109234374649,0.002820392420575045,0.008106810633213,0.003501992378678577,0.0022639946346655975,0.015840150403942238,0.00767038603997302,0.04144326068139199
126.0,0.032003001565332645,0.004260977521642052,1.419630878469094e-20,0.0006493538806028157,0.007256430087406977,0.04556454787810577,0.016814170157094244,0.0011631490289058966,0.007909256259991369,0.007842407154083117,0.006684023087902656,0.012492080083468164,1.7072476267127884e-19,0.00126831092854408,0.002820392420024343,0.008106810628218159,0.00350199237700004,0.0022639946346824725,0.01583982204531731,0.007668470808754106,0.04135812846917046
127.0,0.03197710341517263,0.004260977520665893,1.4196375484092283e-20,0.0006493538806028159,0.007239682586818883,0.045455803690917576,0.016730745565807583,0.0011631490325272021,0.007872977647753117,0.007850870895132044,0.006657812425486151,0.012495802759344242,1.7072865003766551e-19,0.0012683109339161832,0.0028203924194693682,0.008106810623131512,0.003501992375374245,0.0022639946346978378,0.015839813733702853,0.007666405726362203,0.04126866908221054
128.0,0.031951206854982137,0.004260977519675282,1.4196476595998748e-20,0.0006493538806028161,0.007223305434548219,0.04534307224939876,0.01664344969942997,0.0011631490363915504,0.007836525607073453,0.007859887501431214,0.006631434621098435,0.012501722344590389,1.7073319959725633e-19,0.0012683109395927477,0.002820392418904951,0.00810681061791859,0.0035019923737989516,0.0022639946347114757,0.01584013094313492,0.0076641846556871895,0.041174282845814245
129.0,0.03192531188347269,0.004260977518647397,1.419661487733345e-20,0.0006493538806028159,0.007207375565712475,0.045224719278806134,0.016551201893490998,0.001163149040533454,0.007799623609683106,0.007869461460831341,0.006604729101994689,0.012510779184983773,1.7073847736605918e-19,0.0012683109456222378,0.002820392418324724,0.008106810612535318,0.003501992372271878,0.002263994634723055,0.01584078226541415,0.007661801154215389,0.041074260518986334
130.0,0.03189941849935612,0.004260977517551835,1.419679441180116e-20,0.000649353880602816,0.0071919723522268515,0.04509866697827993,0.01645268447782417,0.0011631490450011031,0.007761886138661999,0.007879598047890622,0.00657751959387654,0.01252387977122871,1.7074457714357406e-19,0.0012683109520668088,0.0028203924177203367,0.008106810606924248,0.0035019923707900547,0.002263994634732157,0.015841778881845472,0.00765924845385707,0.04096778634367839
