genus	date	val	type
Albidiferax	2011-04-05	6.126741213495443	MG
Albidiferax	2011-04-14	5.280506516424521	MG
Albidiferax	2011-04-21	5.196536980958486	MG
Albidiferax	2011-04-29	5.5951188859907335	MG
Albidiferax	2011-05-06	6.119213642217422	MG
Albidiferax	2011-05-13	6.359307496217339	MG
Albidiferax	2011-05-20	6.185091197292536	MG
Albidiferax	2011-05-27	4.412466470565322	MG
Albidiferax	2011-06-03	4.494479231774242	MG
Albidiferax	2011-06-09	6.644161679263389	MG
Albidiferax	2011-06-17	6.513193857322732	MG
Albidiferax	2011-06-24	7.1143628502816085	MG
Albidiferax	2011-07-01	5.589409379535555	MG
Albidiferax	2011-07-08	5.7271742535808	MG
Albidiferax	2011-08-05	4.689240860908674	MG
Albidiferax	2011-08-11	3.3675817573616094	MG
Albidiferax	2011-08-19	3.2650949180502695	MG
Albidiferax	2011-08-29	6.395395321668466	MG
Albidiferax	2011-09-05	6.502875615190884	MG
Albidiferax	2011-09-12	8.371132076059009	MG
Albidiferax	2011-09-19	8.765929995489962	MG
Albidiferax	2011-09-28	9.721919418598485	MG
Albidiferax	2011-10-05	9.480273801979141	MG
Albidiferax	2011-10-12	7.478992526997045	MG
Albidiferax	2011-11-02	5.282546352101716	MG
Albidiferax	2011-11-07	5.885526775719888	MG
Albidiferax	2011-11-16	2.790454791941208	MG
Albidiferax	2011-11-23	2.2832490012196955	MG
Albidiferax	2011-11-29	2.2123503939409916	MG
Albidiferax	2011-12-21	4.115287119308875	MG
Albidiferax	2011-12-28	4.19329645705076	MG
Albidiferax	2012-01-03	5.337675800656563	MG
Albidiferax	2012-01-11	6.316930695924678	MG
Albidiferax	2012-01-19	6.517739516795119	MG
Albidiferax	2012-01-25	5.69512833287661	MG
Albidiferax	2012-02-01	6.4826816283269775	MG
Albidiferax	2012-02-08	6.247677215770175	MG
Albidiferax	2012-02-14	5.12911075996358	MG
Albidiferax	2012-02-23	5.850735991827701	MG
Albidiferax	2012-02-29	6.00521342046452	MG
Albidiferax	2012-03-08	5.624679108192947	MG
Albidiferax	2012-03-14	6.31547553008806	MG
Albidiferax	2012-03-22	5.931051305579241	MG
Albidiferax	2012-03-28	4.885458566672946	MG
Albidiferax	2012-04-04	4.8473977963074875	MG
Albidiferax	2012-04-10	5.4011267717923	MG
Albidiferax	2012-04-17	3.924872602568487	MG
Albidiferax	2012-04-25	4.548494421116841	MG
Albidiferax	2012-05-03	5.957126831645448	MG
Candidatus Microthrix	2011-03-21	26.18083775042212	MG
Candidatus Microthrix	2011-03-29	23.641354879292603	MG
Candidatus Microthrix	2011-04-05	30.644209502075995	MG
Candidatus Microthrix	2011-04-14	28.689472294744785	MG
Candidatus Microthrix	2011-04-21	25.223201231184472	MG
Candidatus Microthrix	2011-04-29	24.794716699057762	MG
Candidatus Microthrix	2011-05-06	28.67318320239073	MG
Candidatus Microthrix	2011-05-13	30.448443284124473	MG
Candidatus Microthrix	2011-05-20	27.430820852342414	MG
Candidatus Microthrix	2011-05-27	31.92802797589372	MG
Candidatus Microthrix	2011-06-03	35.24216298727612	MG
Candidatus Microthrix	2011-06-09	22.46981143001185	MG
Candidatus Microthrix	2011-06-17	23.08104625329397	MG
Candidatus Microthrix	2011-06-24	25.03654009838958	MG
Candidatus Microthrix	2011-07-01	19.095100353551818	MG
Candidatus Microthrix	2011-07-08	20.599546494836247	MG
Candidatus Microthrix	2011-08-05	15.706763972419612	MG
Candidatus Microthrix	2011-08-11	22.548879526528246	MG
Candidatus Microthrix	2011-08-19	33.9261068831966	MG
Candidatus Microthrix	2011-08-29	30.125422026467326	MG
Candidatus Microthrix	2011-09-05	22.95759391239869	MG
Candidatus Microthrix	2011-09-12	24.539695834131386	MG
Candidatus Microthrix	2011-09-19	32.48515629722077	MG
Candidatus Microthrix	2011-09-28	25.94056060254723	MG
Candidatus Microthrix	2011-10-05	16.941744070854693	MG
Candidatus Microthrix	2011-10-12	20.186761520204154	MG
Candidatus Microthrix	2011-11-02	23.721934416980204	MG
Candidatus Microthrix	2011-11-07	13.804260227338826	MG
Candidatus Microthrix	2011-11-16	7.548543626956459	MG
Candidatus Microthrix	2011-11-23	1.5890161932433529	MG
Candidatus Microthrix	2011-11-29	1.9559346289049668	MG
