KO	FunC_1	FunC_2	FunC_3	FunC_4
K03705	1	0	1	1
K02968	1	1	1	1
K03979	1	1	1	1
K17734	1	1	1	1
K01963	1	1	1	1
K01695	1	1	1	1
K02004	1	1	1	1
K01659	1	0	1	1
K07713	1	1	1	1
K03602	1	1	1	1
K02242	1	1	1	1
K09690	1	1	1	1
K00057	1	1	1	1
K02439	1	1	1	1
K03216	1	0	1	1
K03071	1	1	1	1
K03657	1	1	1	1
K08651	1	1	1	1
K07025	1	1	1	1
K06916	1	0	1	0
K19360	1	1	1	1
K12573	1	1	1	1
K03218	1	1	1	1
K03773	1	1	1	1
K03978	1	1	1	1
K00046	1	0	1	1
K01919	1	0	1	1
K04749	1	1	1	1
K11894	1	1	1	1
K07315	1	1	1	1
K03770	1	1	1	1
K19302	1	1	1	1
K01752	1	1	1	1
K06882	1	1	1	1
K09803	1	0	1	1
K03564	1	1	1	1
K03567	1	0	1	1
K07657	1	0	1	1
K07082	1	1	1	1
K01303	1	1	1	1
K02341	1	1	1	1
K03442	1	1	1	1
K00507	1	1	1	1
K03786	1	1	1	1
K01961	1	1	1	1
K01591	1	1	1	1
K00859	1	1	1	1
K03790	1	1	1	1
K01876	1	1	1	1
K02274	1	1	1	1
K00227	1	1	1	1
K13482	1	1	1	0
K02479	1	1	1	1
K11617	1	1	1	1
K01082	1	1	1	1
K07063	1	1	1	1
K19092	1	1	1	1
K04077	1	1	1	1
K02451	1	0	1	1
K02450	1	0	1	1
K01409	1	1	1	1
K00950	1	1	1	1
K07301	1	1	1	1
K00091	1	1	1	1
K12448	1	1	1	1
K07047	1	1	1	1
K13509	1	1	1	1
K00248	1	1	1	1
K01662	1	1	1	1
K02493	1	1	1	1
K03799	1	1	1	1
K11477	1	1	1	1
K11942	1	1	1	1
K02335	1	1	1	1
K02364	1	1	1	1
K03583	1	0	1	0
K02313	1	1	1	1
K02338	1	1	1	1
K03629	1	1	1	1
K02020	1	0	1	1
K04087	1	1	1	1
K13244	1	0	1	1
K08744	1	1	1	1
K03548	1	1	1	1
K00368	1	1	1	1
K01021	1	1	1	1
K18573	1	1	1	1
K00404	1	1	1	1
K06997	1	1	1	1
K02909	1	1	1	1
K01647	1	1	1	1
K01239	1	0	1	1
K03642	1	1	1	1
K00412	1	0	1	1
K00759	1	1	1	1
K00641	1	1	1	1
K03298	1	1	1	1
K06910	1	0	1	1
K00790	1	1	1	1
K00982	1	0	1	1
K01715	1	1	1	1
K03572	1	1	1	1
K02492	1	1	1	1
K00767	1	1	1	1
K06998	1	1	1	1
K01138	1	1	1	1
K08311	1	0	1	1
K01495	1	1	1	1
K01890	1	1	1	1
K13640	1	1	1	1
K07160	1	1	1	1
K01681	1	1	1	1
K09691	1	1	1	1
K13051	1	1	1	1
K07343	1	1	1	1
K01935	1	1	1	1
K03565	1	1	1	1
K03553	1	1	1	1
K00789	1	1	1	1
K03625	1	1	1	1
K00794	1	1	1	1
K07748	1	1	1	1
K03116	1	1	1	1
K03117	1	1	1	1
K03118	1	1	1	1
K06969	1	1	1	1
K08151	1	1	1	1
K00053	1	1	1	1
K01687	1	1	1	1
K01453	1	1	1	1
K00831	1	1	1	1
K00791	1	1	1	1
K03665	1	1	1	1
K03579	1	0	1	1
K00012	1	1	1	1
K13775	1	1	1	1
K05808	1	1	1	1
K06147	1	1	1	1
K06138	1	1	1	1
K01953	1	1	1	1
K05838	1	1	1	1
K06191	1	0	1	1
K00082	1	1	1	1
K02067	1	1	1	1
K03060	1	1	1	1
K00166	1	0	1	1
K10947	1	1	1	0
K00936	1	1	1	1
K18578	1	1	1	1
K02339	1	0	1	0
K01255	1	1	1	1
K16150	1	1	1	1
K16568	1	1	1	1
K00990	1	0	1	1
K01451	1	0	1	1
K00382	1	1	1	1
K06189	1	0	1	1
K07260	1	1	1	1
K00537	1	1	1	1
K03631	1	1	1	1
K02638	1	1	1	1
K07535	1	1	1	1
K11996	1	1	1	1
K10217	1	1	1	1
K00486	1	1	1	1
K00609	1	1	1	1
K03761	1	1	1	1
K12600	1	1	1	1
K06131	1	1	1	1
K00762	1	1	1	1
K01027	1	1	1	1
K07491	1	1	1	1
K00788	1	1	1	1
K12264	1	0	1	1
K01845	1	1	1	1
K07001	1	1	1	1
K13572	1	1	1	1
K03624	1	1	1	1
K12506	1	1	1	1
K03210	1	1	1	1
K02837	1	1	1	1
K03544	1	1	1	1
K00453	1	1	1	1
K03712	1	1	1	1
K00457	1	1	1	0
K00451	1	1	1	1
K00023	1	1	1	1
K01869	1	1	1	1
K02357	1	1	1	1
K01467	1	1	1	1
K07778	1	1	1	0
K00108	1	1	1	1
K06911	1	1	1	1
K15034	1	1	1	1
K01711	1	1	1	1
K03745	1	0	1	1
K11717	1	1	1	1
K09015	1	1	1	1
K09939	1	1	1	1
K01533	1	1	1	1
K00252	1	1	1	1
K03087	1	1	1	1
K03925	1	1	1	1
K03438	1	1	1	1
K13282	1	1	1	1
K13924	1	1	1	1
K17686	1	1	1	1
K00567	1	1	1	1
K13529	1	0	1	1
K17713	1	1	1	1
K06020	1	1	1	1
K12988	1	1	1	1
K03070	1	1	1	1
K02835	1	1	1	1
K09705	1	1	1	0
K01990	1	1	1	1
K07478	1	1	1	1
K03439	1	1	1	1
K03149	1	1	1	1
K03672	1	0	1	1
K00102	1	1	1	1
K15987	1	1	1	1
K04759	1	1	1	1
K01458	1	1	1	1
K08223	1	1	1	0
K09696	1	1	1	1
K09697	1	1	1	1
K01477	1	1	1	0
K00925	1	1	1	1
K13049	1	1	1	1
K04066	1	1	1	1
K01560	1	1	1	0
K02040	1	1	1	1
K03797	1	1	1	1
K03535	1	0	1	1
K09767	1	1	1	1
K03563	1	0	1	1
K01872	1	1	1	1
K01952	1	1	1	1
K03588	1	1	1	1
K14260	1	0	1	0
K03526	1	1	1	1
K05794	1	1	1	1
K05602	1	0	1	1
K02663	1	1	1	1
K05939	1	1	1	1
K03426	1	0	1	0
K05516	1	1	1	1
K13993	1	1	1	1
K01452	1	1	1	1
K18814	1	1	1	1
K07340	1	1	1	1
K17286	1	1	1	1
K00939	1	1	1	1
K03688	1	1	1	1
K02302	1	1	1	1
K00208	1	1	1	1
K02667	1	1	1	1
K02428	1	1	1	1
K02657	1	1	1	1
K07735	1	1	1	1
K03596	1	1	1	1
K03100	1	1	1	1
K13668	1	1	1	1
K15792	1	1	1	1
K01000	1	1	1	1
K06148	1	1	1	1
K01673	1	1	1	1
K02441	1	1	1	1
K07720	1	1	1	1
K01304	1	0	1	1
K02600	1	1	1	1
K02519	1	1	1	1
K09748	1	1	1	1
K00343	1	1	1	1
K01265	1	1	1	1
K07693	1	0	1	0
K00088	1	1	1	1
K00390	1	1	1	1
K00381	1	1	1	1
K00380	1	0	1	0
K00101	1	0	1	0
K03527	1	1	1	1
K01697	1	1	1	1
K01609	1	1	1	1
K02237	1	1	1	1
K04079	1	1	1	1
K00648	1	1	1	1
K00645	1	1	1	1
K01537	1	1	1	1
K07576	1	1	1	1
K01886	1	1	1	1
K11991	1	1	1	1
K16839	1	0	1	1
K01271	1	1	1	1
K09537	1	0	1	1
K09793	1	1	1	1
K03643	1	1	1	1
K02871	1	1	1	1
K02996	1	1	1	1
K11473	1	0	1	1
K05710	1	1	1	1
K15269	1	1	1	1
K00942	1	1	1	1
K03496	1	1	1	1
K07124	1	1	1	1
K16653	1	1	1	1
K01759	1	1	1	1
K18991	1	1	1	1
K03424	1	1	1	1
K01950	1	1	1	1
K11753	1	1	1	1
K15192	1	1	1	0
K08738	1	1	1	1
K00793	1	1	1	1
K11752	1	1	1	1
K07738	1	0	1	1
K00600	1	1	1	1
K01637	1	1	1	0
K01638	1	1	1	1
K19338	1	1	1	1
K02528	1	1	1	1
K06966	1	1	1	1
K00996	1	1	1	1
K00820	1	1	1	1
K14998	1	0	1	1
K02258	1	0	1	0
K18697	1	1	1	1
K01873	1	1	1	1
K02844	1	1	1	1
K02847	1	1	1	1
K18235	1	1	1	1
K07397	1	1	1	1
K00164	1	1	1	1
K00658	1	1	1	1
K07552	1	1	1	0
K02014	1	1	1	1
K08590	1	1	1	1
K07250	1	1	1	1
K02036	1	1	1	1
K02038	1	1	1	1
K02037	1	1	1	1
K02355	1	1	1	1
K06075	1	1	1	1
K03543	1	1	1	1
K05844	1	1	1	1
K01259	1	1	1	1
K19156	1	0	1	1
K07065	1	1	1	1
K01893	1	1	1	1
K00034	1	1	1	1
K01934	1	1	1	1
K07011	1	1	1	1
K03733	1	1	1	1
K00887	1	1	1	1
K02343	1	1	1	1
K06187	1	1	1	1
K09747	1	1	1	1
K15711	1	1	1	1
K02426	1	1	1	1
K16019	1	0	1	0
K01883	1	1	1	1
K12524	1	1	1	1
K03699	1	1	1	1
K08676	1	1	1	1
K03309	1	1	1	1
K00097	1	1	1	1
K02687	1	1	1	1
K00554	1	1	1	1
K02884	1	1	1	1
K03781	1	1	1	1
K03743	1	0	1	0
K06168	1	1	1	1
K01945	1	1	1	1
K00602	1	1	1	1
K07460	1	1	1	1
K03522	1	1	1	1
K18122	1	1	1	1
K02200	1	0	1	1
K03798	1	0	1	1
K03768	1	1	1	1
K05837	1	1	1	1
K01126	1	1	1	1
K11085	1	1	1	1
K00772	1	0	1	1
K00336	1	1	1	1
K15727	1	1	1	1
K13766	1	1	1	1
K07140	1	1	1	1
K00797	1	1	1	1
K08976	1	1	1	1
K02259	1	1	1	1
K00297	1	1	1	1
K18330	1	0	1	1
K01576	1	0	1	0
K01246	1	1	1	1
K07566	1	1	1	1
K04096	1	1	1	1
K03168	1	1	1	1
K03075	1	1	1	1
K01803	1	1	1	1
K01881	1	0	1	1
K02496	1	1	1	1
K13543	1	0	1	1
K02498	1	1	1	1
K03641	1	1	1	1
K03646	1	1	1	1
K17816	1	0	1	1
K13472	1	1	1	1
K18301	1	1	1	1
K01689	1	1	1	1
K05589	1	1	1	1
K00991	1	1	1	1
K03955	1	1	1	1
K14136	1	1	1	1
K01867	1	1	1	1
K07102	1	1	1	1
K16881	1	1	1	1
K12257	1	1	1	1
K01424	1	1	1	1
K09456	1	1	1	1
K06940	1	1	1	1
K02617	1	1	1	1
K09790	1	0	1	1
K06915	1	1	1	1
K18164	1	0	1	1
K08153	1	1	1	1
K08296	1	1	1	1
K02346	1	1	1	1
K01712	1	1	1	1
K02292	1	0	1	1
K04047	1	1	1	1
K16699	1	1	1	1
K00963	1	1	1	1
K14051	1	0	1	1
K08083	1	0	1	0
K01749	1	1	1	1
K00970	1	1	1	1
K13940	1	1	1	1
K00606	1	1	1	1
K01918	1	1	1	1
K18979	1	1	1	1
K05524	1	1	1	1
K01856	1	1	1	1
K02018	1	0	1	1
K02017	1	0	1	1
K02221	1	0	1	1
K00286	1	1	1	1
K07979	1	1	1	0
K00432	1	1	1	1
K00958	1	0	1	0
K06946	1	1	1	1
K09760	1	1	1	1
K07127	1	1	1	1
K03628	1	1	1	1
K09780	1	1	1	1
K05896	1	1	1	1
K00019	1	0	1	0
K09809	1	1	1	0
K00937	1	1	1	1
K00275	1	1	1	1
K03711	1	1	1	1
K06958	1	1	1	1
K03744	1	1	1	1
K03650	1	1	1	1
K01278	1	1	1	1
K03554	1	0	1	1
K07043	1	1	1	1
K00433	1	1	1	1
K01772	1	1	1	1
K00631	1	1	1	1
K02836	1	1	1	1
K18827	1	1	1	1
K07794	1	0	1	0
K07795	1	0	1	1
K03767	1	1	1	1
K03269	1	1	1	1
K02895	1	1	1	1
K02874	1	1	1	1
K15736	1	1	1	1
K01312	1	0	1	1
K03545	1	1	1	1
K01358	1	1	1	1
K07056	1	1	1	1
K00104	1	1	1	0
K03695	1	1	1	1
K07481	1	1	1	1
K03587	1	1	1	1
K03272	1	1	1	1
K03793	1	0	1	1
K04088	1	1	1	1
K15503	1	0	1	1
K08299	1	0	1	0
K15537	1	1	1	1
K01696	1	1	1	1
K00930	1	1	1	1
K03601	1	1	1	1
K09005	1	1	1	1
K04564	1	1	1	1
K03296	1	1	1	1
K05366	1	1	1	1
K02462	1	0	1	1
K02664	1	1	1	1
K02116	1	1	1	1
K03801	1	1	1	1
K03644	1	1	1	1
K02108	1	1	1	1
K02110	1	1	1	1
K04084	1	1	1	1
K00966	1	1	1	1
K01599	1	1	1	1
K02860	1	1	1	1
K02959	1	1	1	1
K03823	1	1	1	1
K05799	1	1	1	1
K07088	1	1	1	1
K00384	1	1	1	1
K12339	1	1	1	1
K02497	1	0	1	1
K03106	1	1	1	1
K01868	1	1	1	1
K08352	1	0	1	1
K08305	1	0	1	0
K07090	1	1	1	1
K01692	1	1	1	1
K09807	1	1	1	1
K01693	1	0	1	1
K12143	1	0	1	0
K17865	1	1	1	1
K04719	1	1	1	1
K04755	1	1	1	1
K18954	1	1	1	1
K00529	1	1	1	1
K00257	1	1	1	1
K01054	1	1	1	1
K07396	1	1	1	1
K00766	1	1	1	1
K02945	1	1	1	1
K00800	1	1	1	1
K08992	1	1	1	1
K01243	1	0	1	1
K03517	1	1	1	1
K04748	1	1	1	1
K01875	1	1	1	1
K13770	1	1	1	1
K05882	1	1	1	1
K00363	1	0	1	1
K03179	1	1	1	1
K01433	1	1	1	0
K09773	1	0	1	0
K07032	1	1	1	1
K00266	1	1	1	1
K09458	1	1	1	1
K01207	1	1	1	1
K01997	1	0	1	1
K02197	1	1	1	1
K02196	1	0	1	0
K02078	1	1	1	1
K00374	1	1	1	0
K03769	1	1	1	1
K07223	1	0	1	0
K04044	1	1	1	1
K02114	1	1	1	1
K02133	1	1	1	1
K01822	1	1	1	1
K00459	1	1	1	0
K00981	1	1	1	1
K00099	1	1	1	1
K05555	1	1	1	1
K07259	1	1	1	1
K13771	1	1	1	1
K01420	1	1	1	1
K01534	1	1	1	1
K01714	1	1	1	1
K00943	1	1	1	1
K01130	1	1	1	1
K04752	1	0	1	1
K03320	1	1	1	1
K11175	1	1	1	1
K00995	1	0	1	1
K02990	1	1	1	1
K02963	1	1	1	1
K16011	1	1	1	1
K12993	1	0	1	1
K15268	1	1	1	1
K00332	1	1	1	1
K14659	1	1	1	1
K03980	1	0	1	1
K07588	1	1	1	1
K08998	1	1	1	1
K16844	1	0	1	0
K00001	1	1	1	1
K01462	1	1	1	1
K01995	1	0	1	1
K01897	1	1	1	1
K06350	1	1	1	1
K03470	1	1	1	1
K11688	1	1	1	1
K01056	1	1	1	1
K11407	1	0	1	1
K02340	1	1	1	1
K06980	1	0	1	1
K00111	1	1	1	1
K06886	1	1	1	1
K00013	1	0	1	1
K04771	1	1	1	1
K00640	1	1	1	1
K02049	1	1	1	1
K15553	1	0	1	1
K06153	1	1	1	1
K03772	1	1	1	1
K14061	1	1	1	1
K06902	1	1	1	1
K04110	1	0	1	0
K18399	1	1	1	0
K02948	1	1	1	1
K02931	1	1	1	1
K02954	1	1	1	1
K02994	1	1	1	1
K02933	1	1	1	1
K02881	1	1	1	1
K02988	1	1	1	1
K02907	1	1	1	1
K02876	1	1	1	1
K03076	1	1	1	1
K11166	1	1	1	1
K02919	1	1	1	1
K02952	1	1	1	1
K18336	1	1	1	0
K03500	1	1	1	1
K04085	1	0	1	1
K07263	1	1	1	1
K00558	1	1	1	1
K02012	1	0	1	1
K00241	1	1	1	1
K03710	1	0	1	1
K00242	1	0	1	1
K02035	1	1	1	1
K17768	1	1	1	1
K08177	1	0	1	0
K00325	1	1	1	1
K01653	1	1	1	1
K06945	1	0	1	1
K18912	1	1	1	1
K18980	1	1	1	1
K07112	1	1	1	1
K07092	1	1	1	0
K02379	1	1	1	1
K08259	1	1	1	1
K03043	1	1	1	1
K09131	1	1	1	1
K06857	1	1	1	0
K03972	1	1	1	1
K03634	1	1	1	1
K00163	1	0	1	1
K06211	1	1	1	1
K00323	1	1	1	1
K00324	1	1	1	1
K01147	1	0	1	1
K03664	1	1	1	1
K01515	1	1	1	1
K00684	1	1	1	1
K05810	1	1	1	1
K07568	1	1	1	1
K02986	1	1	1	1
K03040	1	1	1	1
K01657	1	1	1	1
K03215	1	1	1	1
K07116	1	1	1	0
K00681	1	1	1	1
K13643	1	1	1	1
K00344	1	1	1	1
K04078	1	1	1	1
K07793	1	0	1	0
K13481	1	1	1	1
K16437	1	1	1	1
K03892	1	1	1	1
K12995	1	1	1	1
K01644	1	1	1	1
K00025	1	0	1	1
K01716	1	0	1	1
K07448	1	1	1	1
K13010	1	1	1	1
K00523	1	1	1	1
K02057	1	0	1	1
K07335	1	0	1	1
K03566	1	0	1	1
K17224	1	1	1	0
K05643	1	1	1	1
K02653	1	0	1	1
K01998	1	0	1	1
K13819	1	1	1	1
K13628	1	1	1	1
K17223	1	1	1	1
K02673	1	1	1	1
K00123	1	1	1	1
K14048	1	0	1	1
K00845	1	1	1	1
K01338	1	1	1	1
K01167	1	1	1	1
K03623	1	1	1	1
K01999	1	1	1	1
K02113	1	1	1	1
K02109	1	1	1	1
K15634	1	1	1	1
K02609	1	1	1	0
K02611	1	1	1	0
K02610	1	1	1	0
K04100	1	1	1	0
K05937	1	1	1	1
K07095	1	1	1	1
K03321	1	1	1	1
K11179	1	1	1	1
K11959	1	0	1	1
K02503	1	1	1	1
K01496	1	1	1	1
K01523	1	0	1	0
K13638	1	1	1	0
K01607	1	1	1	1
K06204	1	1	1	1
K02234	1	0	1	1
K03862	1	1	1	1
K01586	1	1	1	1
K07807	1	0	1	1
K06023	1	0	1	1
K06370	1	1	1	1
K03820	1	1	1	1
K09181	1	0	1	1
K01709	1	1	1	1
K00124	1	0	1	0
K07024	1	0	1	1
K03763	1	0	1	1
K00069	1	0	1	0
K01626	1	0	1	1
K08762	1	1	1	0
K18575	1	1	1	1
K00635	1	0	1	0
K02946	1	1	1	1
K02926	1	1	1	1
K02892	1	1	1	1
K02982	1	1	1	1
K02878	1	1	1	1
K02904	1	1	1	1
K02961	1	1	1	1
K03829	1	1	1	1
K02906	1	1	1	1
K15866	1	1	1	1
K02669	1	0	1	1
K03271	1	1	1	1
K11927	1	1	1	1
K00997	1	1	1	1
K11072	1	1	1	1
K10764	1	1	1	1
K01885	1	1	1	1
K05595	1	1	1	1
K03722	1	0	1	1
K04034	1	1	1	1
K02520	1	1	1	1
K02916	1	1	1	1
K00373	1	1	1	0
K00951	1	1	1	1
K10763	1	0	1	0
K03501	1	1	1	1
K01702	1	1	1	1
K01778	1	1	1	1
K06190	1	0	1	1
K01256	1	1	1	1
K00919	1	1	1	1
K01866	1	1	1	1
K13355	1	0	1	1
K17231	1	1	1	0
K01756	1	1	1	1
K00931	1	1	1	1
K06149	1	1	1	1
K07462	1	1	1	1
K11169	1	0	1	0
K03701	1	1	1	1
K06019	1	1	1	1
K06606	1	0	1	1
K02051	1	1	1	1
K01996	1	0	1	1
