ID,time,undefined_genus_of_Enterobacteriaceae,Blautia,Barnesiella,undefined_genus_of_unclassified_Mollicutes,undefined_genus_of_Lachnospiraceae,Akkermansia,Clostridium_difficile,unclassified_Lachnospiraceae,Coprobacillus,Enterococcus,Other,growthvector_ones,Clindamycin_signal
6,12,3.9838,2.4779,0.0014679,0.002449,0.0053403,0.01068,1.3591,0.0010159,0.0015161,0.032042,0.22963,1,0
6,16,1.854,2.2344,0.00071871,0.0011992,0.00037397,0.00099001,2.5874,0.0004975,0.00074241,0.052298,0.022227,1,0
6,23,4.8842,2.8296,0.0010268,0.0017131,0.00053438,0.0014143,2.7176,0.00071076,0.014942,0.041091,0.011206,1,0
7,0,0.0029315,0.00019451,0.23636,0.00036644,0.0036644,0.00073287,0,0.000172,4.36e-06,0.00073287,0.76658,1,1
7,2,1.0752,0.00022285,0.00041983,0.00039213,5.45e-05,0.00023881,0,0.00019707,5e-06,0.00083967,0.00041983,1,0
7,3,0.39082,8.58e-05,0.00012594,0.00015097,2.1e-05,9.19e-05,0,7.59e-05,0.067076,0.001778,0.0011314,1,0
7,4,0.23833,0.21044,0.0019756,0.0023681,0.00032936,0.0076064,0,0.0050708,2.145,0.11409,0.45132,1,0
7,5,0.064127,0.46772,0.00054311,0.00065104,9.06e-05,0.97933,0,0.00032718,8.29e-06,0.00023499,0.0041822,1,0
7,6,0.070683,1.4298,0.0011473,0.0013753,0.00019117,1.9879,0,0.0006912,1.75e-05,0.00049644,0.00023896,1,0
7,7,0.25992,0.13822,0.00029915,0.00035859,4.99e-05,0.67456,0,0.00018021,4.57e-06,0.00076785,0.0065268,1,0
7,9,0.66458,0.14549,0.0002606,0.10503,4.35e-05,0.00019025,0,0.00015699,3.98e-06,0.00033446,0.0033446,1,0
7,12,0.59887,0.40119,0.00050336,0.023902,8.39e-05,0.00036747,0,0.00030323,7.69e-06,0.00021779,0.0032302,1,0
7,16,0.020215,0.07094,7.23e-05,0.1008,1.2e-05,5.27e-05,0,4.35e-05,1.1e-06,9.27e-05,0.047293,1,0
7,23,0.029696,0.036517,6.48e-05,0.073035,1.08e-05,4.73e-05,0,3.9e-05,9.9e-07,8.32e-05,0.00066546,1,0
8,0,0,0.0085261,2.5396,0.01218,2.4263,0,0.00096746,0.68452,0.0085261,0,1.8417,1,0
8,2,0,0.014388,5.1404,0.0082214,3.1981,0,0.0020553,0.98656,0.010277,0,2.5651,1,0
8,6,0,0.016309,2.4626,0.24714,2.0662,0,0.00099644,0.6122,0.0087817,0,1.6986,1,0
8,13,0,0.043974,1.6281,0.044974,1.9639,0,0.0007938,0.36679,0.00031107,0,1.3812,1,0
9,0,0.0002671,0.0045457,1.397,0.0020202,1.0672,0.00034809,0,0.20051,0.0035356,0.0001156,0.61869,1,1
9,2,0.74503,3.8e-05,0.00013787,6.02e-05,0.0001498,0.00015785,0.00017134,0.0001032,1.92e-05,5.25e-05,0.32774,1,0
9,3,2.9584,0.00011672,0.00042473,0.00018552,0.00046148,0.00048629,0.0035278,0.00031789,0.040217,0.00635,0.25189,1,0
9,4,0.038304,0.00033082,1.42e-05,9.45e-05,2.36e-05,0.00085068,9.45e-05,1.06e-05,1.98e-06,0.022236,0.0027411,1,0
9,5,0.022066,0.00081843,1.89e-05,9.44e-05,9.44e-05,0.00053511,0.018446,1.42e-05,0.0025497,0.0016998,0.0065157,1,0
9,6,2.0511,0.065322,0.00071497,0.0011877,0.00077683,0.0011877,0.19834,0.00053511,0.01544,0.023754,0.44776,1,0
9,7,2.0297,0.042801,0.00099094,0.00043289,0.0010767,0.0011345,0.12017,0.00074167,1.2428,0.05597,0.0214,1,0
9,9,2.7389,0.045325,0.00043309,0.00018927,0.00047058,0.00049583,0.01295,0.00032414,6.02e-05,0.0001648,0.015108,1,0
9,12,6.181,1.2856,0.0015478,0.082272,0.0016817,0.0017721,0.24168,0.0011584,0.00021523,0.010285,0.025712,1,0
9,16,2.0599,0.65426,0.00097491,0.00042599,0.0010593,0.0011162,3.2082,0.00072983,0.00013607,0.011336,1.7976,1,0
9,23,2.1318,1.6649,0.0019386,4.6533,0.0021062,0.0032203,3.0464,0.0014507,0.00026972,0.0096608,3.7291,1,0
